station_name,pump_name,timestamp,status,suction_pressure,case_pressure,discharge_pressure,pressure_throttle,specific_gravity,speed,efficiency,flow,head,pressure_difference,por,aor,lor,head_degradation,baseline_head,energy_wasted,money_wasted,flow_ratio_bep,reliability,rate_of_life_time,consumed_lifetime,estimated_remaining_life,shaft_power
Station1,Pump1,2019-04-01T07:10:00.000Z,Open,543533.7536,4788719.754,,,0.9152255,,82.54701,0.495084882,476.6910823,4245186,0,1,0,4.417057533,481.1081399,0.12808175,,0.7308409,0.68839735,1.4526494,0.12105411,99.3675,2568956.2
Station1,Pump1,2019-04-01T07:15:00.000Z,Open,543533.7536,4781823.754,,,0.9152474,,83.41194,0.494169086,475.9117244,4238290,0,1,0,5.283985634,481.1957101,0.105517305,,0.729501,0.68536323,1.4590803,0.121590026,99.36143,2533534.8
Station1,Pump1,2019-04-01T07:20:00.000Z,Open,550428.5036,4803313.504,,,0.9156196,,81.68955,0.492027163,477.3446773,4252885,0,1,0,4.054832001,481.3995093,0.14990272,,0.7263673,0.67825377,1.4743744,0.12286453,99.35528,2584710.8
Station1,Pump1,2019-04-01T07:25:00.000Z,Open,550428.5036,4763069.504,,,0.9157511,,83.29217,0.492750615,472.7969173,4212641,0,1,0,8.533906002,481.3308233,0.10758949,,0.72742575,0.680657,1.4691687,0.12243073,99.34916,2514649.5
Station1,Pump1,2019-04-01T07:30:00.000Z,Open,550428.5036,4794617.504,,,0.9157511,,82.246796,0.493635744,476.3086971,4244189,0,1,0,4.937900562,481.2465976,0.13547005,,0.7287207,0.68359464,1.4628552,0.121904604,99.34306,2570250
Station1,Pump1,2019-04-01T07:35:00.000Z,Open,550428.5036,4796755.504,,,0.91564155,,82.45055,0.496539205,476.6032222,4246327,0,1,0,4.365274925,480.9684971,0.1310019,,0.7329687,0.6932082,1.442568,0.120214,99.33705,2580143.2
Station1,Pump1,2019-04-01T07:40:00.000Z,Open,550428.5036,4805464.004,,,0.9155101,,80.83405,0.497665018,477.6407283,4255035.5,0,1,0,3.219223995,480.8599523,0.17474805,,0.7346158,0.69692576,1.4348731,0.11957276,99.33108,2643063.8
Station1,Pump1,2019-04-01T07:45:00.000Z,Open,550428.5036,4777243.004,,,0.9145694,,81.29963,0.494655847,474.9825862,4226814.5,0,1,0,6.166600246,481.1491865,0.16009402,,0.7302132,0.6869764,1.4556541,0.12130451,99.32501,2594853.2
Station1,Pump1,2019-04-01T07:50:00.000Z,Open,550428.5036,4770420.004,,,0.9148536,,82.180695,0.494751781,474.0760005,4219991.5,0,1,0,7.064020176,481.1400207,0.13671632,,0.73035353,0.6872942,1.4549811,0.121248424,99.31895,2563382.5
Station1,Pump1,2019-04-01T07:55:00.000Z,Open,550428.5036,4780482.504,,,0.9152474,,82.35589,0.489590377,474.9943965,4230054,0,1,0,6.635175724,481.6295723,0.1311176,,0.7228021,0.6701456,1.492213,0.124351084,99.31273,2537518.5
Station1,Pump1,2019-04-01T08:00:00.000Z,Open,550428.5036,4799048.504,,,0.91654056,,81.57348,0.49618122,476.3945735,4248620,0,1,0,4.608377952,481.0029515,0.15409277,,0.7324449,0.6920249,1.4450347,0.120419554,99.30671,2607428.2
Station1,Pump1,2019-04-01T08:05:00.000Z,Open,550428.5036,4773742.504,,,0.9175953,,80.94215,0.494520903,473.0401119,4223314,0,1,0,8.121973057,481.1620849,0.16945802,,0.73001575,0.6865293,1.4566022,0.12138351,99.30064,2603451
Station1,Pump1,2019-04-01T08:10:00.000Z,Open,550428.5036,4809895.504,,,0.91654056,,84.15678,0.498597532,477.6009639,4259467,0,1,0,3.168797512,480.7697614,0.08804025,,0.7359801,0.70000035,1.4285707,0.11904756,99.294685,2546072.5
Station1,Pump1,2019-04-01T08:15:00.000Z,Open,543533.7536,4808779.754,,,0.9158826,,83.69746,0.49689278,478.5845149,4265246,0,1,0,2.349949379,480.9344643,0.09948095,,0.73348594,0.6943764,1.4401411,0.120011754,99.28869,2554831
Station1,Pump1,2019-04-01T08:20:00.000Z,Open,550428.5036,4785272.504,,,0.9155758,,82.57324,0.500041038,475.3587154,4234844,0,1,0,5.27085783,480.6295732,0.12835234,,0.73809206,0.70475096,1.4189409,0.11824508,99.282776,2587301.8
Station1,Pump1,2019-04-01T08:25:00.000Z,Open,550428.5036,4757921.504,,,0.9155101,,83.02876,0.496538252,472.3471492,4207493,0,1,0,8.621444721,480.9685939,0.11496701,,0.73296726,0.69320506,1.4425745,0.120214544,99.276764,2538738.2
